[2025-02-27 11:16:01,507: INFO :common: yaml file: config\config.yaml loaded successfully]
[2025-02-27 11:16:32,347: INFO :common: yaml file: config\config.yaml loaded successfully]
[2025-02-27 11:16:32,352: INFO :common: yaml file: params.yaml loaded successfully]
[2025-02-27 11:17:44,612: INFO :common: yaml file: config\config.yaml loaded successfully]
[2025-02-27 11:17:44,668: INFO :common: yaml file: params.yaml loaded successfully]
[2025-02-27 11:17:44,676: INFO :common: created directory at: artifacts]
[2025-02-27 11:19:01,425: INFO :common: yaml file: config\config.yaml loaded successfully]
[2025-02-27 11:19:01,434: INFO :common: yaml file: params.yaml loaded successfully]
[2025-02-27 11:19:01,440: INFO :common: created directory at: artifacts]
[2025-02-27 11:20:01,414: INFO :common: yaml file: config\config.yaml loaded successfully]
[2025-02-27 11:20:01,426: INFO :common: yaml file: params.yaml loaded successfully]
[2025-02-27 11:20:01,432: INFO :common: created directory at: artifacts]
[2025-02-27 11:21:10,949: INFO :common: yaml file: config\config.yaml loaded successfully]
[2025-02-27 11:21:10,956: INFO :common: yaml file: params.yaml loaded successfully]
[2025-02-27 11:21:10,963: INFO :common: created directory at: artifacts]
[2025-02-27 11:21:10,969: INFO :common: created directory at: artifacts/data_ingestion]
[2025-02-27 11:21:10,975: INFO :2273794005: Downloading data from https://drive.google.com/file/d/1LSF57OehVyi3dYkaUY4_I4dagYGJWw5t/view?usp=drive_link into file artifacts/data_ingestion/data.zip]
[2025-02-27 11:21:26,984: INFO :2273794005: Downloaded data from https://drive.google.com/file/d/1LSF57OehVyi3dYkaUY4_I4dagYGJWw5t/view?usp=drive_link into file artifacts/data_ingestion/data.zip]
[2025-03-02 22:20:09,734: INFO :main: >>>>>> stage Data Ingestion Stage started <<<<<]
[2025-03-02 22:20:09,775: INFO :common: yaml file: config\config.yaml loaded successfully]
[2025-03-02 22:20:09,799: INFO :common: yaml file: params.yaml loaded successfully]
[2025-03-02 22:20:09,802: INFO :common: created directory at: artifacts]
[2025-03-02 22:20:09,805: INFO :common: created directory at: artifacts/data_ingestion]
[2025-03-02 22:20:09,806: INFO :data_ingestion: Downloading data from https://drive.google.com/file/d/1LSF57OehVyi3dYkaUY4_I4dagYGJWw5t/view?usp=drive_link into file artifacts/data_ingestion/data.zip]
[2025-03-02 22:20:27,831: INFO :data_ingestion: Downloaded data from https://drive.google.com/file/d/1LSF57OehVyi3dYkaUY4_I4dagYGJWw5t/view?usp=drive_link into file artifacts/data_ingestion/data.zip]
[2025-03-02 22:20:31,337: INFO :main: >>>>>> stage Data Ingestion Stage completed <<<<<

x======x]
